Crooked Lake Prairie,Point and Quad,4/3/2003,4/10/2003,4/17/2003,4/24/2003,5/1/2003,5/8/2003,5/15/2003,5/22/2003,4/8/2004,4/15/2004,4/22/2004,4/30/2004,5/6/2004,5/13/2004,5/20/2004,5/27/2004,4/21/2005,4/28/2005,5/5/2005,5/12/2005,5/19/2005,5/26/2005,4/6/2006,4/13/2006,5/4/2006,5/11/2006,5/18/2006,5/25/2006,4/19/2007,4/26/2007,5/3/2007,5/10/2007,4/9/2009,4/16/2009,5/7/2009,5/14/2009,5/21/2009,5/28/2009,4/22/2010,4/29/2010,4/7/2011, 4/14/2011,5/5/2011,5/19/2011,5/26/2011,4/19/2012,4/26/2012,5/3/2012,5/9/2013,5/16/2013,5/23/2013,4/17/2015,4/24/2015,4/30/2015,5/7/2015,5/14/2015,4/21/2016,4/13/2017,4/20/2017,5/11/2017,5/18/2017,5/25/2017,4/19/2018,5/24/2018
Crooked Lake Prairie,4N ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Crooked Lake Prairie,4E,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
Crooked Lake Prairie,4S,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Crooked Lake Prairie,4W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crooked Lake Prairie,7N,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,NA,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Crooked Lake Prairie,7E,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crooked Lake Prairie,7S,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,NA,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Crooked Lake Prairie,7W,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,NA,0,1,2,2,1,1,0,0,0,0,0,0,0,0
Crooked Lake Prairie,8N,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,NA,1,1,0,0,0,1,0,0,1,0,0,0,1,0
Crooked Lake Prairie,8E,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,0,0,0,1,0,1,0,0,1,0,0,0,0,0
